Grupo,Entidad,,,,,
G7,Aiguasol,,,,,
G7,ASEMAFOR,,,,,
G7,Gourmet Ltda,,,,,
G8,C. JC Sleman A.,,,,,
G8,NativeFood,,,,,
G8,I+D Empresarial FIA,,,,,
G8,Robinson Crusoe,,,,,
G8,GoodFood4U,,,,,
G8,Comercial CJ,,,,,
G8,Fco Fuentes C.,,,,,
G8,Ecocrea,,,,,
G8,Biofresco,,,,,
G8,Bioingemar,,,,,
G8,Epullen,,,,,
G8,UBIOBIO,,,,,
G8,TribusFungi,,,,,
G8,LofKumikir,,,,,
G8,Ecotierra,,,,,
G8,R2B Catalyst,,,,,
G8,GMTFOODS,,,,,
G9,Innova,,,,,
G9,P Fortalecimiento Capacidades,,,,,
G9,ProgDifTec,,,,,
G9,PPT,,,,,
G9,PDT,,,,,
G9,Codesser,,,,,
G9,CHILENUT,,,,,
G9,AGRYD,,,,,
G9,EUROCHILE,,,,,
G9,DAYENU Ltda,,,,,
G9,Papa Chile,,,,,
G9,FECHIPAN,,,,,
G9,RedAgrícola,,,,,
G9,Viña Santa Carolina,,,,,
G9,Abud Sittler,,,,,
G9,FMed-UCHILE,,,,,
G10,MINSAL,,,,,
G10,Sub Redes Asistenciales MINSAL,,,,,
G10,CERES BCA,,,,,
G10,Subsecretaría Agricultura,,,,,
G10,INN,,,,,
G10,USACH,,,,,
G10,División Políticas Públicas MINSAL,,,,,
G10,SNILabsAS,,,,,
G10,SNILabsAS-CTS,,,,,
G10,SERNAPESCA,,,,,
G10,ISP,,,,,
G11,UFRO,,,,,
G11,FrutiSur,,,,,
G11,CEAF,,,,,
G11,UAustral,,,,,
G11,Copefrut,,,,,
G11,Novaseed,,,,,
G11,SocGenSemPapas,,,,,
G11,Papas Arcoiris,,,,,
G11,CecinasLoncoche,,,,,
G11,DonQueco,,,,,
G11,HICAR,,,,,
G12,SOUTHAM,,,,,
G12,Tres Mares,,,,,
G12,IFI,,,,,
G12,IFI-Cero Pérdidas,,,,,
G12,IFI-Frutícola,,,,,
